Student_ID,Student_Name,Subject_Name,Subject_Code,Semester,Internal_Marks,External_Marks,Total_Marks,Grade,Attendance_Percentage
Student006,Name_Student006,English,E103,6,41,60,101,D,83.64
Student015,Name_Student015,Physics,P102,3,33,35,68,F,62.24
Student031,Name_Student031,Math,M101,8,83,54,137,C,85.92
Student025,Name_Student025,CS,CS104,7,61,48,109,D,82.8
Student001,Name_Student001,Math,M101,7,58,52,110,C,90.21
Student045,Name_Student045,CS,CS104,1,61,45,106,D,72.82
Student030,Name_Student030,English,E103,8,94,84,178,A,91.53
Student036,Name_Student036,CS,CS104,3,90,87,177,A,62.96
Student016,Name_Student016,English,E103,8,60,65,125,C,71.99
Student046,Name_Student046,English,E103,4,64,72,136,C,65.99
Student035,Name_Student035,Math,M101,3,49,59,108,D,69.15
Student010,Name_Student010,Physics,P102,2,83,82,165,B,66.54
Student030,Name_Student030,CS,CS104,1,56,83,139,C,69.47
Student050,Name_Student050,Math,M101,7,91,30,121,C,97.14
Student020,Name_Student020,CS,CS104,7,98,99,197,A,89.99
Student015,Name_Student015,CS,CS104,4,64,85,149,B,74.28
Student025,Name_Student025,English,E103,7,51,89,140,B,95.98
Student040,Name_Student040,Math,M101,7,33,40,73,F,82.14
Student009,Name_Student009,CS,CS104,3,36,63,99,D,68.96
Student014,Name_Student014,CS,CS104,6,73,78,151,B,63.91
Student027,Name_Student027,English,E103,2,90,32,122,C,87.45
Student004,Name_Student004,English,E103,4,38,35,73,F,87.71
Student016,Name_Student016,Physics,P102,1,49,60,109,D,56.31
Student043,Name_Student043,Math,M101,4,89,62,151,B,88.34
Student011,Name_Student011,Math,M101,3,69,43,112,C,78.93
Student020,Name_Student020,CS,CS104,7,55,39,94,D,79.6
Student041,Name_Student041,Physics,P102,2,68,45,113,C,89.81
Student037,Name_Student037,Math,M101,6,98,84,182,A,83.08
Student005,Name_Student005,English,E103,1,83,92,175,A,55.28
Student024,Name_Student024,CS,CS104,3,85,52,137,C,86.69
Student042,Name_Student042,English,E103,8,89,85,174,A,91.29
Student038,Name_Student038,English,E103,6,61,41,102,D,63.95
Student029,Name_Student029,Physics,P102,8,78,73,151,B,51.43
Student021,Name_Student021,Physics,P102,8,57,75,132,C,89.89
Student022,Name_Student022,English,E103,5,31,96,127,C,97.4
Student006,Name_Student006,Physics,P102,7,92,60,152,B,84.53
Student042,Name_Student042,CS,CS104,8,32,41,73,F,64.71
Student026,Name_Student026,Physics,P102,5,77,90,167,B,77.67
Student023,Name_Student023,CS,CS104,6,75,88,163,B,63.55
Student017,Name_Student017,Physics,P102,2,54,70,124,C,55.98
Student035,Name_Student035,Physics,P102,4,57,91,148,B,63.82
Student038,Name_Student038,English,E103,2,54,67,121,C,61.37
Student012,Name_Student012,English,E103,1,98,46,144,B,63.72
Student004,Name_Student004,English,E103,3,92,43,135,C,93.64
Student037,Name_Student037,English,E103,8,91,86,177,A,67.04
Student004,Name_Student004,English,E103,8,44,38,82,D,70.04
Student005,Name_Student005,Math,M101,3,49,68,117,C,54.26
Student016,Name_Student016,Math,M101,7,58,96,154,B,69.02
Student029,Name_Student029,English,E103,7,69,37,106,D,80.48
Student048,Name_Student048,Math,M101,4,57,63,120,C,83.02
Student011,Name_Student011,Physics,P102,3,100,39,139,C,57.83
Student027,Name_Student027,CS,CS104,8,67,34,101,D,61.57
Student046,Name_Student046,English,E103,8,39,59,98,D,96.2
Student041,Name_Student041,Physics,P102,7,44,99,143,B,61.24
Student010,Name_Student010,English,E103,3,39,37,76,F,58.3
Student020,Name_Student020,English,E103,8,45,89,134,C,84.43
Student045,Name_Student045,CS,CS104,5,94,99,193,A,74.69
Student006,Name_Student006,Math,M101,7,71,62,133,C,51.29
Student015,Name_Student015,Math,M101,5,35,52,87,D,73.53
Student042,Name_Student042,CS,CS104,5,53,85,138,C,81.74
Student032,Name_Student032,Math,M101,8,74,82,156,B,66.67
Student043,Name_Student043,Math,M101,3,72,82,154,B,84.68
Student019,Name_Student019,CS,CS104,1,88,41,129,C,65.73
Student021,Name_Student021,Math,M101,7,95,30,125,C,82.88
Student035,Name_Student035,CS,CS104,7,36,54,90,D,75.92
Student040,Name_Student040,CS,CS104,8,36,56,92,D,63.35
Student009,Name_Student009,English,E103,8,92,45,137,C,51.44
Student041,Name_Student041,Physics,P102,3,69,100,169,B,50.68
Student027,Name_Student027,Math,M101,4,44,89,133,C,97.35
Student042,Name_Student042,Physics,P102,8,67,95,162,B,85.27
Student027,Name_Student027,CS,CS104,8,61,88,149,B,77.56
Student025,Name_Student025,Physics,P102,3,38,65,103,D,88.63
Student027,Name_Student027,English,E103,5,30,66,96,D,86.3
Student038,Name_Student038,CS,CS104,3,87,98,185,A,74.22
Student022,Name_Student022,CS,CS104,8,71,54,125,C,99.04
Student016,Name_Student016,CS,CS104,4,82,35,117,C,65.91
Student031,Name_Student031,CS,CS104,7,49,93,142,B,98.24
Student009,Name_Student009,English,E103,2,86,42,128,C,76.3
Student030,Name_Student030,Math,M101,3,82,49,131,C,53.74
Student017,Name_Student017,English,E103,7,40,72,112,C,92.62
Student035,Name_Student035,CS,CS104,6,92,99,191,A,51.79
Student005,Name_Student005,Physics,P102,5,59,41,100,D,71.7
Student007,Name_Student007,Math,M101,8,51,68,119,C,95.17
Student003,Name_Student003,English,E103,1,67,75,142,B,68.74
Student010,Name_Student010,Physics,P102,7,53,51,104,D,58.75
Student040,Name_Student040,CS,CS104,4,93,48,141,B,61.61
Student041,Name_Student041,English,E103,8,62,31,93,D,94.95
Student030,Name_Student030,English,E103,3,39,86,125,C,97.26
Student038,Name_Student038,English,E103,7,62,88,150,B,92.27
Student013,Name_Student013,CS,CS104,8,43,60,103,D,69.07
